"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.168150375E0,2.331988525E1,-1.006910324E1,-3.545374298E1,4.361389434E1
1.178135375E0,2.317483521E1,-1.007701111E1,-3.554611206E1,4.361358988E1
1.188119375E0,2.316531372E1,-9.966423035E0,-3.556418610E1,4.359785179E1
1.198103375E0,2.315446472E1,-1.005835342E1,-3.552752686E1,4.358330959E1
1.208088375E0,2.311494446E1,-9.885498047E0,-3.541262817E1,4.342899910E1
1.218072375E0,2.322607422E1,-1.001236534E1,-3.548989105E1,4.358016005E1
1.228057375E0,2.315931702E1,-9.871360779E0,-3.556034851E1,4.356989918E1
1.238041375E0,2.324908447E1,-9.881334305E0,-3.539840698E1,4.348802034E1
1.248026375E0,2.323762512E1,-9.932115555E0,-3.544992828E1,4.353540578E1
1.258010375E0,2.318850708E1,-9.911931992E0,-3.544884491E1,4.350372239E1
1.267994375E0,2.327232361E1,-9.975131989E0,-3.554328156E1,4.363976590E1
1.277979375E0,2.338284302E1,-1.012612152E1,-3.533059692E1,4.356083979E1
1.287963375E0,2.328775024E1,-1.010344505E1,-3.545552063E1,4.360611031E1
1.297948375E0,2.329571533E1,-1.009003830E1,-3.546547699E1,4.361535606E1
1.307932375E0,2.314158630E1,-1.012994003E1,-3.534322357E1,4.344297589E1
1.317917375E0,2.321485901E1,-1.003857803E1,-3.534052277E1,4.345866170E1
1.327901375E0,2.323965454E1,-1.005572510E1,-3.532398987E1,4.346243678E1
1.337885375E0,2.313146973E1,-1.014088249E1,-3.536778259E1,4.346012465E1
1.347870375E0,2.320259094E1,-1.005765152E1,-3.528377533E1,4.341038334E1
1.357854375E0,2.326412964E1,-1.004726982E1,-3.543152618E1,4.356099639E1
1.367839375E0,2.326629639E1,-1.006378937E1,-3.568215179E1,4.377003953E1
1.377823375E0,2.329005432E1,-1.007155800E1,-3.551553345E1,4.364878036E1
1.387808375E0,2.316049194E1,-1.009942055E1,-3.536592102E1,4.346441133E1
1.397792375E0,2.323226929E1,-9.992733002E0,-3.543320465E1,4.353280419E1
1.407776375E0,2.326484680E1,-1.001987457E1,-3.548212433E1,4.359623986E1
1.417761375E0,2.320802307E1,-1.010238457E1,-3.550952148E1,4.360730013E1
1.427745375E0,2.320019531E1,-1.012487411E1,-3.543813324E1,4.355024025E1
1.437730375E0,2.316903687E1,-1.010080910E1,-3.562583160E1,4.368100836E1
1.447714375E0,2.313079834E1,-1.013275528E1,-3.559414673E1,4.364229420E1
1.457699375E0,2.326242065E1,-1.011063766E1,-3.566409302E1,4.376405762E1
1.467683375E0,2.331690979E1,-1.012459183E1,-3.554721832E1,4.370114841E1
1.477667375E0,2.333296204E1,-1.009482193E1,-3.528879547E1,4.349289175E1
1.487652375E0,2.332902527E1,-1.019905663E1,-3.546847534E1,4.366093127E1
1.497636375E0,2.346144104E1,-1.016751671E1,-3.548192596E1,4.373539393E1
1.507621375E0,2.336691284E1,-1.018075562E1,-3.546156311E1,4.367130475E1
1.517605375E0,2.341940308E1,-1.006491661E1,-3.536091614E1,4.359088640E1
1.527590375E0,2.352864075E1,-1.008577347E1,-3.549591064E1,4.376390561E1
1.537574375E0,2.346099854E1,-1.027321053E1,-3.555961609E1,4.382286621E1
1.547559375E0,2.344808960E1,-1.033689499E1,-3.549620819E1,4.377950548E1
1.557543375E0,2.348120117E1,-1.018782997E1,-3.534608459E1,4.364062768E1
1.567527375E0,2.325798035E1,-1.010970879E1,-3.558253479E1,4.369504141E1
1.577512375E0,2.334599304E1,-1.012937164E1,-3.560311890E1,4.376324527E1
1.587496375E0,2.332128906E1,-1.002757645E1,-3.567768860E1,4.378735293E1
1.597481375E0,2.316554260E1,-9.914615631E0,-3.563973236E1,4.364782343E1
1.607465375E0,2.323605347E1,-1.012217140E1,-3.539298248E1,4.353200827E1
1.617450375E0,2.331735229E1,-1.016009903E1,-3.535371399E1,4.355240089E1
1.627434375E0,2.329489136E1,-1.020767975E1,-3.562892914E1,4.377521309E1
1.637418375E0,2.326817322E1,-1.012742043E1,-3.565058899E1,4.375999343E1
1.647403375E0,2.334675598E1,-1.010767937E1,-3.545021820E1,4.363432327E1
1.657387375E0,2.341682434E1,-1.004304886E1,-3.538107300E1,4.360081214E1
1.667372375E0,2.322895813E1,-1.009520340E1,-3.525585938E1,4.341052001E1
1.677356375E0,2.327549744E1,-1.012584305E1,-3.540541077E1,4.356402862E1
1.687341375E0,2.332154846E1,-1.017447281E1,-3.538316345E1,4.358190881E1
1.697325375E0,2.333143616E1,-1.005832481E1,-3.556121063E1,4.370498270E1
1.707309375E0,2.335087585E1,-1.018323326E1,-3.541954041E1,4.362918158E1
1.717294375E0,2.330218506E1,-1.012073708E1,-3.548262024E1,4.363986121E1
1.727278375E0,2.327357483E1,-1.012002182E1,-3.560965729E1,4.372781517E1
1.737263375E0,2.329640198E1,-1.016349411E1,-3.556246185E1,4.371164205E1
1.747247375E0,2.329701233E1,-1.020598412E1,-3.546048737E1,4.363896263E1
1.757232375E0,2.315377808E1,-1.021669006E1,-3.541930389E1,4.353165840E1
1.767216375E0,2.321134949E1,-1.009287071E1,-3.545808411E1,4.356499183E1
1.777200375E0,2.317518616E1,-1.023831177E1,-3.546559143E1,4.358578274E1
1.787185375E0,2.321957397E1,-1.026733971E1,-3.549532318E1,4.364040385E1
1.797169375E0,2.329049683E1,-1.034546280E1,-3.540048981E1,4.361961166E1
1.807154375E0,2.331765747E1,-1.038759804E1,-3.528774261E1,4.355272806E1
1.817138375E0,2.324810791E1,-1.029992676E1,-3.566230774E1,4.379912335E1
1.827123375E0,2.326060486E1,-1.025278282E1,-3.545872498E1,4.362907827E1
1.837107375E0,2.324880981E1,-1.022507477E1,-3.564145660E1,4.376497162E1
1.847091375E0,2.323083496E1,-1.018388557E1,-3.558767700E1,4.370201337E1
1.857076375E0,2.325361633E1,-1.022382736E1,-3.562829590E1,4.375651708E1
1.867060375E0,2.337841797E1,-1.010567665E1,-3.551644135E1,4.370460769E1
1.877045375E0,2.327142334E1,-1.014840698E1,-3.567481232E1,4.378631684E1
1.887029375E0,2.330488586E1,-1.014415169E1,-3.571437836E1,4.383535491E1
1.897014375E0,2.320906067E1,-1.021433067E1,-3.564247131E1,4.374218570E1
1.906998375E0,2.332905579E1,-1.025304604E1,-3.561891174E1,4.379585221E1
1.916982375E0,2.322840881E1,-1.010058784E1,-3.571898651E1,4.378843281E1
1.926967375E0,2.318280029E1,-1.011068535E1,-3.568156433E1,4.373605173E1
1.936951375E0,2.306842041E1,-9.906614304E0,-3.553385925E1,4.350802432E1
1.946936375E0,2.321098328E1,-9.912107468E0,-3.547534180E1,4.353733449E1
1.956920375E0,2.320320129E1,-9.927173615E0,-3.551789093E1,4.357129677E1
1.966905375E0,2.313552856E1,-9.883649826E0,-3.531662750E1,4.336131218E1
1.976889375E0,2.313954163E1,-9.918933868E0,-3.539301300E1,4.343373119E1
1.986872875E0,2.312413025E1,-9.974483490E0,-3.556275177E1,4.357665699E1
1.996857875E0,2.310197449E1,-1.004844284E1,-3.565462494E1,4.365689760E1
2.006841875E0,2.314131165E1,-1.019577980E1,-3.550118256E1,4.358678921E1
2.016826875E0,2.311271667E1,-1.000194931E1,-3.552002716E1,4.354203706E1
2.026810875E0,2.308132935E1,-1.008607292E1,-3.539643860E1,4.344403868E1
2.036795875E0,2.311732483E1,-1.008630562E1,-3.557742310E1,4.361074756E1
2.046779875E0,2.315660095E1,-1.011166382E1,-3.545700836E1,4.353933112E1
2.056763875E0,2.313542175E1,-1.010232162E1,-3.544488525E1,4.351602616E1
2.066748875E0,2.314538574E1,-1.008017731E1,-3.524824524E1,4.335617197E1
2.076732875E0,2.317707825E1,-1.008742142E1,-3.534212494E1,4.345110841E1
2.086717875E0,2.308418274E1,-1.004567719E1,-3.550472260E1,4.352448104E1
2.096701875E0,2.310008240E1,-1.002306557E1,-3.565312958E1,4.364884075E1
2.106686875E0,2.322801208E1,-9.992658615E0,-3.551224518E1,4.359487733E1
2.116670875E0,2.315473938E1,-1.002881432E1,-3.544629669E1,4.351044727E1
2.126654875E0,2.325605774E1,-1.017145157E1,-3.531121826E1,4.348775441E1
2.136639875E0,2.327734375E1,-1.010904312E1,-3.534169769E1,4.350934475E1
2.146623875E0,2.333021545E1,-1.013160515E1,-3.559290314E1,4.374703567E1
2.156608875E0,2.329647827E1,-1.004063416E1,-3.552613831E1,4.365371390E1
2.166592875E0,2.329783630E1,-1.004240417E1,-3.551100922E1,4.364253468E1
2.176577875E0,2.318125916E1,-9.976810455E0,-3.568008423E1,4.370327143E1
2.186561875E0,2.323025513E1,-9.887222290E0,-3.563614655E1,4.367306788E1
2.196545875E0,2.321447754E1,-9.956180573E0,-3.559971619E1,4.365062762E1
2.206530875E0,2.328572083E1,-1.007139778E1,-3.534545898E1,4.350815232E1
2.216514875E0,2.322827148E1,-1.003379250E1,-3.552443695E1,4.361439222E1
2.226499875E0,2.313491821E1,-1.005599022E1,-3.542468262E1,4.348856768E1
2.236483875E0,2.313723755E1,-1.011741257E1,-3.544406891E1,4.351983248E1
2.246468875E0,2.323840332E1,-1.003979301E1,-3.543528748E1,4.354859850E1
2.256452875E0,2.314498901E1,-9.961494446E0,-3.569380188E1,4.369175415E1
2.266436875E0,2.327494812E1,-9.966293335E0,-3.566590118E1,4.373907544E1
2.276421875E0,2.317681885E1,-9.859666824E0,-3.558317566E1,4.359518725E1
2.286405875E0,2.314448547E1,-9.900382996E0,-3.548459625E1,4.350679674E1
2.296390875E0,2.305140686E1,-9.928520203E0,-3.559795380E1,4.355636792E1
